name,url,website_url,featured,rating,num_reviews,num_users,version,size,developer,updated_date,num_languages,timestamp
Proxy SwitchyOmega 3 (ZeroOmega),https://chromewebstore.google.com/detail/proxy-switchyomega-3-zero/pfnededegaaopdmhkdmcofjmoldfiped,https://chromewebstore.google.com/user/installed,True,4.9,36,93841507,3.3.23,1.57MiB,Email,"February 24, 2025",5.0,2025-04-27 23:50:40
3 Tabs Only,https://chromewebstore.google.com/detail/3-tabs-only/pkfpaiidmiemediimekjfmlbhnbofabd,https://chromewebstore.google.com/user/installed,True,4.9,9,93841507,7.10005,37.33KiB,"314 Brunswick Avenue Toronto, ON M5R 2Y9 Canada
Email","March 1, 2020",,2025-04-27 23:50:43
Journey Buster 3,https://chromewebstore.google.com/detail/journey-buster-3/gjhgbebipngfiifihcdhcgpepkmhpopc,https://journeybuster.com/,True,4.8,305,98012752,3.4.6,56.67KiB,"Website
Email","May 21, 2024",,2025-04-27 23:50:45
